stock_id,inv_trust,dealer,foregin_inv,total_inv_overview
2017-03-13 00:00:00,0050,0,"67,000","226,000","293,000"
2017-03-14 00:00:00,0050,"500,000","709,000","987,000","2,196,000"
2017-03-15 00:00:00,0050,"-130,000","148,000","342,000","360,000"
2017-03-16 00:00:00,0050,"900,000","-1,404,000","4,235,000","3,731,000"
2017-03-17 00:00:00,0050,0,"675,000","2,880,000","3,555,000"
2017-03-20 00:00:00,0050,0,"1,187,000","1,992,000","3,179,000"
2017-03-21 00:00:00,0050,0,"1,219,000","4,701,000","5,920,000"
2017-03-22 00:00:00,0050,0,"-230,000","890,000","660,000"
2017-03-23 00:00:00,0050,0,"312,000","751,080","1,063,080"
2017-03-24 00:00:00,0050,"-780,000","1,394,000","114,000","728,000"
2017-03-27 00:00:00,0050,0,"-581,000","1,548,000","967,000"
2017-03-28 00:00:00,0050,0,"1,093,000","535,000","1,628,000"
2017-03-29 00:00:00,0050,0,"430,000","279,000","709,000"
2017-03-30 00:00:00,0050,0,"406,000","1,177,000","1,583,000"
2017-03-31 00:00:00,0050,0,"-226,000","-118,000","-344,000"
2017-04-05 00:00:00,0050,0,"521,000","1,214,000","1,735,000"
2017-04-06 00:00:00,0050,"1,168,000","-1,909,000","108,000","-633,000"
2017-04-07 00:00:00,0050,0,"-736,000","-145,920","-881,920"
2017-04-10 00:00:00,0050,0,"-101,000","-44,000","-145,000"
2017-04-11 00:00:00,0050,0,"-421,000","613,000","192,000"
2017-04-12 00:00:00,0050,"-80,000","-769,000","1,530,000","681,000"
2017-04-13 00:00:00,0050,0,"-1,367,000","5,057,080","3,690,080"
2017-04-14 00:00:00,0050,0,"-1,847,000","-4,000","-1,851,000"
2017-04-17 00:00:00,0050,"2,000,000","-3,116,000","-577,000","-1,693,000"
2017-04-18 00:00:00,0050,"1,898,000","-2,315,000","-577,540","-994,540"
2017-04-19 00:00:00,0050,0,"177,000","-7,146,000","-6,969,000"
2017-04-20 00:00:00,0050,"-533,000","-711,000","-1,296,000","-2,540,000"
2017-04-21 00:00:00,0050,0,"-30,000","-747,000","-777,000"
2017-04-24 00:00:00,0050,"750,000","-646,000","-1,340,919","-1,236,919"
2017-04-25 00:00:00,0050,0,"1,038,000","551,000","1,589,000"
2017-04-26 00:00:00,0050,0,"1,382,000","1,878,000","3,260,000"
2017-04-27 00:00:00,0050,"-1,747,000","265,000","1,482,000",0
2017-04-28 00:00:00,0050,0,"1,963,000","191,000","2,154,000"
2017-05-02 00:00:00,0050,0,"3,663,000","9,805,000","13,468,000"
2017-05-03 00:00:00,0050,0,"47,000","2,856,092","2,903,092"
2017-05-04 00:00:00,0050,0,"-339,000","3,238,000","2,899,000"
2017-05-05 00:00:00,0050,0,"-926,000","3,798,000","2,872,000"
2017-05-08 00:00:00,0050,"-604,000","-711,000","2,672,000","1,357,000"
2017-05-09 00:00:00,0050,0,"-933,000","1,868,000","935,000"
2017-05-10 00:00:00,0050,0,"140,000","359,000","499,000"
2017-05-11 00:00:00,0050,0,"-475,000","272,000","-203,000"
2017-05-12 00:00:00,0050,0,"-1,795,000","-230,000","-2,025,000"
2017-05-15 00:00:00,0050,0,"-105,000","42,078","-62,922"
2017-05-16 00:00:00,0050,0,"-142,000","462,000","320,000"
2017-05-17 00:00:00,0050,0,"-221,000","-32,000","-253,000"
2017-05-18 00:00:00,0050,"-1,927,000","2,114,000","-109,000","78,000"
2017-05-19 00:00:00,0050,0,"-394,000","-41,000","-435,000"
2017-05-22 00:00:00,0050,0,"-803,000","-440,000","-1,243,000"
2017-05-23 00:00:00,0050,0,"1,507,000","-1,866,922","-359,922"
2017-05-24 00:00:00,0050,"-241,000","1,116,000","-1,105,000","-230,000"
2017-05-25 00:00:00,0050,"-731,000","2,250,000","-903,000","616,000"
2017-05-26 00:00:00,0050,0,"1,690,000","-3,141,000","-1,451,000"
2017-05-31 00:00:00,0050,"90,000","392,000","-1,760,000","-1,278,000"
2017-06-01 00:00:00,0050,"-795,000","23,000","-101,000","-873,000"
2017-06-02 00:00:00,0050,0,"1,032,000","-1,782,000","-750,000"
2017-06-03 00:00:00,0050,0,"646,000","200,000","846,000"
2017-06-05 00:00:00,0050,"-243,000","748,000","152,076","657,076"
2017-06-06 00:00:00,0050,0,"-657,000","-4,000","-661,000"
2017-06-07 00:00:00,0050,0,"-431,000","-355,000","-786,000"
2017-06-08 00:00:00,0050,0,"492,000","-676,000","-184,000"
2017-06-09 00:00:00,0050,0,"-1,001,000","-604,000","-1,605,000"
2017-06-12 00:00:00,0050,0,"-1,137,000","-1,100,000","-2,237,000"
2017-06-13 00:00:00,0050,0,"237,000","-783,923","-546,923"
