date,adj_close,close,high,low,open,volume
2019-11-08,NULL,NULL,NULL,NULL,NULL,0
2019-11-11,0.64,0.92,0.92,0.92,0.92,10000
2019-11-12,0.73,0.73,0.73,0.73,0.73,10000
2019-11-13,0.86,0.87,0.87,0.87,0.87,69000
2019-11-14,0.84,0.86,0.88,0.86,0.88,69000
2019-11-15,0.79,NULL,NULL,NULL,NULL,0
2019-11-18,0.76,NULL,NULL,NULL,NULL,0
2019-11-19,0.78,NULL,NULL,NULL,NULL,0
2019-11-20,0.73,NULL,NULL,NULL,NULL,0
2019-11-21,0.69,0.68,0.68,0.68,0.68,62000
2019-11-22,0.66,0.69,0.70,0.69,0.70,62000
2019-11-25,0.77,0.78,0.78,0.71,0.71,247000
2019-11-26,0.86,0.87,0.89,0.87,0.89,284000
2019-11-27,0.96,0.94,0.94,0.87,0.87,330000
2019-11-28,0.81,0.82,0.87,0.82,0.85,186000
2019-11-29,0.79,0.83,0.86,0.83,0.84,127000
2019-12-02,0.84,0.89,0.89,0.85,0.85,198000
2019-12-03,0.96,0.94,0.94,0.85,0.86,323000
2019-12-04,0.88,0.94,1.01,0.94,0.98,128000
