date,adj_close,close,high,low,open,volume
2016-08-17,0.75,0.77,0.77,0.68,0.68,197000
2017-08-28,1.40,NULL,NULL,NULL,NULL,0
2017-08-29,1.51,1.52,1.56,1.52,1.53,260000
2017-08-30,1.40,1.43,1.43,1.39,1.39,354000
2017-08-31,1.42,1.43,1.43,1.34,1.34,127000
2017-09-01,1.41,1.43,1.47,1.43,1.47,192000
2017-09-04,1.36,1.39,1.39,1.33,1.39,205000
2017-09-05,1.31,1.34,1.35,1.33,1.33,70000
2017-09-06,1.35,1.36,1.37,1.31,1.31,534000
2017-09-07,1.49,1.50,1.50,1.32,1.32,765000
2017-09-08,1.43,1.45,1.46,1.44,1.46,325000
2017-09-11,1.46,1.46,1.46,1.41,1.41,126000
2017-09-12,1.44,1.41,1.41,1.39,1.39,40000
2017-09-13,1.42,1.42,1.46,1.42,1.42,230000
2017-09-14,1.53,1.54,1.60,1.45,1.45,523000
2017-09-15,1.46,1.46,1.54,1.46,1.47,744000
2017-09-18,1.44,1.44,1.44,1.36,1.37,434000
2017-09-19,1.49,1.50,1.50,1.44,1.44,364000
2017-09-20,1.54,1.55,1.55,1.48,1.52,750000
2017-09-21,1.65,1.65,1.71,1.56,1.57,1435000
2017-09-22,1.92,1.94,2.00,1.66,1.67,1517000
2017-09-25,2.08,2.05,2.23,1.91,1.94,576000
2017-09-26,2.07,2.13,2.13,1.98,1.98,10000
2017-09-27,1.97,2.00,2.00,2.00,2.00,19000
2017-09-28,2.04,1.98,2.00,1.96,2.00,59000
2017-09-29,2.19,2.23,2.23,2.02,2.02,43000
2017-09-30,2.15,NULL,NULL,NULL,NULL,0
2017-10-02,1.98,2.05,2.05,2.05,2.05,100000
2017-10-03,2.09,NULL,NULL,NULL,NULL,0
2017-10-05,2.02,NULL,NULL,NULL,NULL,0
2017-10-06,1.76,1.80,1.84,1.80,1.84,35000
2017-10-11,1.75,1.74,1.74,1.74,1.74,5000
2017-10-12,1.68,1.73,1.73,1.73,1.73,1000
2017-10-13,1.52,1.55,1.55,1.55,1.55,6000
2017-10-16,1.69,1.70,1.70,1.49,1.49,957000
2017-10-17,1.85,1.84,1.84,1.70,1.70,960000
2017-10-18,1.92,1.90,1.97,1.90,1.90,118000
2017-10-19,1.86,1.87,1.93,1.84,1.93,94000
2017-10-20,1.90,1.89,1.94,1.89,1.91,50000
2017-10-23,1.70,1.69,1.69,1.69,1.69,5000
2017-10-24,1.75,1.75,1.75,1.75,1.75,10000
2017-10-25,1.83,1.80,1.80,1.77,1.77,114000
2017-10-26,1.43,1.46,1.71,1.46,1.71,331000
2017-10-27,1.55,1.55,1.55,1.23,1.33,870000
2017-10-30,1.45,1.45,1.49,1.28,1.29,1337000
2017-10-31,1.28,1.33,1.42,1.31,1.39,611000
2017-11-01,1.30,1.31,1.33,1.28,1.28,663000
2017-11-02,1.28,1.32,1.32,1.32,1.32,50000
2017-11-03,1.27,1.27,1.32,1.24,1.24,272000
2017-11-06,1.26,1.27,1.32,1.16,1.17,759000
2017-11-07,1.34,1.34,1.35,1.28,1.28,1178000
2017-11-08,1.30,1.31,1.34,1.30,1.34,416000
2017-11-09,1.57,1.59,1.63,1.34,1.34,933000
2017-11-10,1.46,1.47,1.62,1.47,1.57,580000
2017-11-13,1.55,1.52,1.59,1.48,1.48,240000
2017-11-14,1.48,1.54,1.54,1.51,1.51,115000
2017-11-15,1.51,1.50,1.50,1.50,1.50,33000
2017-11-16,1.51,1.49,1.51,1.48,1.48,34000
2017-11-17,1.39,1.40,1.40,1.40,1.40,2000
2017-11-20,1.44,1.44,1.44,1.44,1.44,10000
2017-11-21,1.42,1.41,1.41,1.40,1.40,116000
2017-11-22,1.29,1.34,1.34,1.25,1.25,143000
2017-11-23,1.17,1.20,1.20,1.15,1.20,152000
2017-11-24,1.15,1.17,1.17,1.12,1.12,109000
2017-11-27,1.27,1.26,1.26,1.13,1.13,533000
2017-11-28,1.22,1.25,1.29,1.21,1.26,326000
2017-11-29,1.21,1.22,1.22,1.18,1.18,169000
2017-11-30,1.28,1.25,1.29,1.25,1.27,182000
2017-12-01,1.40,1.42,1.53,1.32,1.32,559000
2017-12-04,1.30,1.28,1.41,1.25,1.41,567000
2017-12-05,1.45,1.45,1.45,1.28,1.28,49000
2017-12-06,1.70,1.70,1.70,1.48,1.51,212000
2017-12-07,1.66,1.71,1.79,1.71,1.72,66000
2017-12-08,1.61,NULL,NULL,NULL,NULL,0
2017-12-11,1.37,1.39,1.45,1.39,1.45,101000
2017-12-12,1.47,1.45,1.45,1.43,1.43,15000
2017-12-13,1.44,1.42,1.42,1.42,1.42,10000
2017-12-14,1.44,1.45,1.45,1.45,1.45,10000
2017-12-15,1.62,1.56,1.56,1.51,1.51,157000
2017-12-18,1.63,1.68,1.68,1.54,1.54,197000
2017-12-19,1.66,NULL,NULL,NULL,NULL,0
2017-12-20,1.57,NULL,NULL,NULL,NULL,0
2017-12-21,1.54,NULL,NULL,NULL,NULL,0
2017-12-22,1.55,NULL,NULL,NULL,NULL,0
2017-12-25,1.63,NULL,NULL,NULL,NULL,0
2017-12-26,1.80,1.80,1.82,1.80,1.82,61000
2017-12-27,1.80,NULL,NULL,NULL,NULL,0
2017-12-28,1.66,1.63,1.63,1.63,1.63,10000
2017-12-29,1.62,1.53,1.53,1.53,1.53,10000
2018-01-02,1.61,NULL,NULL,NULL,NULL,0
2018-01-03,1.39,NULL,NULL,NULL,NULL,0
2018-01-04,1.46,1.49,1.49,1.47,1.47,200000
2018-01-05,1.60,1.63,1.63,1.45,1.45,266000
2018-01-08,1.61,1.57,1.58,1.57,1.58,98000
2018-01-09,1.62,NULL,NULL,NULL,NULL,0
2018-01-10,2.09,2.16,2.16,2.16,2.16,10000
2018-01-11,1.85,1.98,1.98,1.98,1.98,10000
2018-01-12,1.81,NULL,NULL,NULL,NULL,0
2018-01-15,1.92,1.98,1.98,1.98,1.98,30000
2018-01-16,2.04,2.04,2.04,2.04,2.04,30000
2018-01-17,2.04,NULL,NULL,NULL,NULL,0
2018-01-18,2.05,NULL,NULL,NULL,NULL,0
2018-01-19,2.09,NULL,NULL,NULL,NULL,0
2018-01-22,2.05,NULL,NULL,NULL,NULL,0
2018-01-23,NULL,NULL,NULL,NULL,NULL,0
2018-01-24,2.18,2.20,2.22,2.20,2.22,20000
2018-01-25,2.51,NULL,NULL,NULL,NULL,0
2018-01-26,2.17,NULL,NULL,NULL,NULL,0
2018-01-29,1.91,NULL,NULL,NULL,NULL,0
2018-01-30,1.90,NULL,NULL,NULL,NULL,0
2018-01-31,1.85,NULL,NULL,NULL,NULL,0
2018-02-01,1.66,NULL,NULL,NULL,NULL,0
2018-02-02,1.75,NULL,NULL,NULL,NULL,0
2018-02-05,1.82,NULL,NULL,NULL,NULL,0
2018-02-06,2.30,NULL,NULL,NULL,NULL,0
2018-02-07,2.11,NULL,NULL,NULL,NULL,0
2018-02-08,2.35,NULL,NULL,NULL,NULL,0
2018-02-09,2.49,NULL,NULL,NULL,NULL,0
2018-02-12,2.64,NULL,NULL,NULL,NULL,0
2018-02-21,2.08,NULL,NULL,NULL,NULL,0
2018-02-22,2.17,NULL,NULL,NULL,NULL,0
2018-02-23,2.01,NULL,NULL,NULL,NULL,0
2018-02-26,1.86,NULL,NULL,NULL,NULL,0
2018-02-27,1.41,1.43,1.43,1.43,1.43,10000
2018-03-01,1.84,1.80,1.80,1.80,1.80,10000
2018-03-02,2.09,NULL,NULL,NULL,NULL,0
2018-03-05,2.12,NULL,NULL,NULL,NULL,0
2018-03-06,2.24,NULL,NULL,NULL,NULL,0
2018-03-07,2.56,NULL,NULL,NULL,NULL,0
2018-03-08,2.58,NULL,NULL,NULL,NULL,0
2018-03-09,2.49,NULL,NULL,NULL,NULL,0
2018-03-12,2.55,NULL,NULL,NULL,NULL,0
2018-03-13,2.44,NULL,NULL,NULL,NULL,0
2018-03-14,2.38,NULL,NULL,NULL,NULL,0
2018-03-15,2.31,NULL,NULL,NULL,NULL,0
2018-03-16,2.46,NULL,NULL,NULL,NULL,0
2018-03-19,2.48,NULL,NULL,NULL,NULL,0
2018-03-20,2.42,NULL,NULL,NULL,NULL,0
2018-03-21,2.35,NULL,NULL,NULL,NULL,0
2018-03-22,2.48,NULL,NULL,NULL,NULL,0
2018-03-23,2.48,NULL,NULL,NULL,NULL,0
2018-11-01,1.16,1.10,1.10,1.10,1.10,2000
2018-11-02,1.01,1.01,1.26,1.01,1.26,12000
2018-11-05,1.08,1.03,1.03,1.02,1.03,203000
2018-11-06,1.29,1.30,1.30,1.08,1.08,273000
2018-11-07,1.21,1.24,1.27,1.24,1.24,118000
2018-11-08,1.26,NULL,NULL,NULL,NULL,0
2018-11-09,1.40,1.42,1.42,1.42,1.42,10000
2018-11-12,1.43,1.33,1.46,1.33,1.42,122000
2018-11-13,1.30,1.35,1.65,1.35,1.57,290000
2018-11-14,1.26,1.30,1.30,1.23,1.23,275000
2018-11-15,1.33,1.35,1.35,1.27,1.27,52000
2018-11-16,1.27,NULL,NULL,NULL,NULL,0
2018-11-19,1.16,1.20,1.20,1.19,1.19,61000
2018-11-20,1.09,1.15,1.19,1.15,1.19,103000
2018-11-21,1.04,1.12,1.12,1.12,1.12,78000
2018-11-22,1.09,1.10,1.10,1.10,1.10,10000
2018-11-23,1.02,NULL,NULL,NULL,NULL,0
2018-11-26,0.91,0.97,0.97,0.97,0.97,15000
2018-11-27,0.85,0.86,0.93,0.86,0.93,7000
2018-11-28,0.86,0.89,0.89,0.89,0.89,19000
2018-11-29,0.79,0.77,0.77,0.76,0.76,320000
2018-11-30,0.92,0.92,0.92,0.84,0.84,604000
2018-12-03,0.29,0.70,0.79,0.70,0.79,301000
2018-12-04,0.80,0.80,0.81,0.70,0.70,160000
2018-12-05,0.90,0.89,0.91,0.88,0.88,232000
2018-12-06,1.23,1.24,1.24,1.07,1.07,353000
2018-12-07,1.12,1.14,1.20,1.13,1.20,106000
2018-12-10,1.21,1.27,1.30,1.20,1.20,178000
2018-12-11,1.04,1.10,1.12,1.10,1.12,100000
2018-12-12,0.87,0.89,0.90,0.89,0.90,33000
2018-12-13,0.89,0.96,0.96,0.87,0.87,413000
2018-12-14,0.94,0.95,0.95,0.91,0.91,14000
2018-12-17,0.87,0.86,0.97,0.86,0.97,136000
2018-12-19,0.86,NULL,NULL,NULL,NULL,0
2018-12-20,0.93,0.93,0.93,0.85,0.85,506000
2018-12-21,0.87,0.94,1.03,0.93,0.95,867000
2018-12-22,0.89,0.89,0.91,0.86,0.91,779000
2018-12-24,0.85,0.86,0.86,0.85,0.86,452000
2018-12-25,0.92,0.92,0.92,0.92,0.92,32000
2018-12-26,0.98,NULL,NULL,NULL,NULL,0
2018-12-27,0.91,0.90,0.90,0.90,0.90,5000
2018-12-28,0.87,0.88,0.92,0.88,0.92,52000
2019-01-02,0.99,0.90,0.90,0.89,0.89,62000
2019-01-03,1.03,1.06,1.11,1.05,1.05,514000
2019-01-04,1.20,1.21,1.21,1.09,1.12,1367000
2019-01-07,0.90,0.90,1.06,0.90,1.06,850000
2019-01-08,0.85,0.93,0.94,0.93,0.94,21000
2019-01-09,0.69,0.69,0.84,0.67,0.84,277000
2019-01-10,0.71,0.69,0.71,0.67,0.67,215000
2019-01-11,0.49,0.49,0.57,0.47,0.54,196000
2019-01-14,0.46,0.45,0.51,0.45,0.51,221000
2019-01-15,0.46,0.47,0.50,0.47,0.49,345000
2019-01-18,0.31,0.36,0.42,0.35,0.42,371000
2019-01-21,0.33,NULL,NULL,NULL,NULL,0
2019-01-22,0.32,0.32,0.33,0.32,0.33,111000
2019-01-23,0.33,0.31,0.31,0.31,0.31,24000
2019-01-24,0.30,0.30,0.30,0.27,0.27,200000
2019-01-25,0.29,0.29,0.29,0.28,0.28,112000
2019-01-28,0.29,0.29,0.29,0.29,0.29,50000
2019-01-29,0.26,NULL,NULL,NULL,NULL,0
2019-01-30,0.25,0.25,0.25,0.25,0.25,470000
2019-02-11,0.18,NULL,NULL,NULL,NULL,0
2019-02-12,0.17,0.16,0.16,0.16,0.16,200000
2019-02-13,0.16,NULL,NULL,NULL,NULL,0
2019-02-14,0.15,NULL,NULL,NULL,NULL,0
2019-02-15,0.16,NULL,NULL,NULL,NULL,0
2019-02-18,0.14,0.16,0.16,0.16,0.16,50000
2019-02-19,0.14,0.15,0.15,0.15,0.15,1000
2019-02-20,0.11,0.13,0.13,0.13,0.13,5000
2019-02-21,0.09,NULL,NULL,NULL,NULL,0
2019-02-22,0.07,NULL,NULL,NULL,NULL,0
2019-02-25,0.05,0.05,0.05,0.05,0.05,15000
2019-02-26,0.05,NULL,NULL,NULL,NULL,0
2019-02-27,0.05,NULL,NULL,NULL,NULL,0
2019-03-04,0.04,NULL,NULL,NULL,NULL,0
2019-03-05,0.04,NULL,NULL,NULL,NULL,0
2019-03-06,0.03,NULL,NULL,NULL,NULL,0
2019-03-07,0.03,NULL,NULL,NULL,NULL,0
2019-03-08,0.02,NULL,NULL,NULL,NULL,0
2019-03-11,0.02,NULL,NULL,NULL,NULL,0
2019-03-12,0.01,NULL,NULL,NULL,NULL,0
2019-03-13,0.01,NULL,NULL,NULL,NULL,0
2019-03-14,0.01,NULL,NULL,NULL,NULL,0
2019-03-15,0.01,NULL,NULL,NULL,NULL,0
2019-03-18,0.01,NULL,NULL,NULL,NULL,0
2019-03-19,0.01,NULL,NULL,NULL,NULL,0
2019-03-20,NULL,NULL,NULL,NULL,NULL,0
2019-03-21,NULL,NULL,NULL,NULL,NULL,0
2019-03-22,NULL,NULL,NULL,NULL,NULL,0
2019-03-25,NULL,NULL,NULL,NULL,NULL,0
2019-03-26,NULL,NULL,NULL,NULL,NULL,0
2019-03-27,NULL,NULL,NULL,NULL,NULL,0
2019-03-28,NULL,NULL,NULL,NULL,NULL,0
2019-03-29,NULL,NULL,NULL,NULL,NULL,0
2019-04-01,NULL,NULL,NULL,NULL,NULL,0
2019-04-02,NULL,NULL,NULL,NULL,NULL,0
2019-04-03,NULL,NULL,NULL,NULL,NULL,0
2019-04-08,NULL,NULL,NULL,NULL,NULL,0
2019-04-09,NULL,NULL,NULL,NULL,NULL,0
2019-04-10,NULL,NULL,NULL,NULL,NULL,0
2019-04-11,NULL,NULL,NULL,NULL,NULL,0
2019-04-12,NULL,NULL,NULL,NULL,NULL,0
2019-04-15,NULL,NULL,NULL,NULL,NULL,0
2019-04-16,NULL,NULL,NULL,NULL,NULL,0
2019-04-17,NULL,NULL,NULL,NULL,NULL,0
2019-04-18,NULL,NULL,NULL,NULL,NULL,0
2019-04-22,NULL,NULL,NULL,NULL,NULL,0
2019-04-23,NULL,NULL,NULL,NULL,NULL,0
2019-04-24,NULL,NULL,NULL,NULL,NULL,0
2019-04-25,NULL,NULL,NULL,NULL,NULL,0
2019-04-26,NULL,NULL,NULL,NULL,NULL,0
2019-10-22,0.96,NULL,NULL,NULL,NULL,0
2019-10-23,0.98,NULL,NULL,NULL,NULL,0
2019-10-24,0.97,0.98,0.98,0.98,0.98,56000
2019-10-25,0.95,0.95,0.95,0.94,0.94,56000
2019-10-28,0.91,NULL,NULL,NULL,NULL,0
2019-10-29,0.86,NULL,NULL,NULL,NULL,0
2019-10-30,0.79,0.81,0.83,0.81,0.83,195000
2019-10-31,0.79,0.77,0.77,0.77,0.77,195000
2019-11-01,0.79,NULL,NULL,NULL,NULL,0
2019-11-04,0.65,0.73,0.73,0.73,0.73,27000
2019-11-05,0.63,0.64,0.64,0.64,0.64,27000
2019-11-06,0.60,0.60,0.60,0.60,0.60,9000
2019-11-07,0.61,0.62,0.62,0.62,0.62,9000
2019-11-08,0.65,NULL,NULL,NULL,NULL,0
2019-11-11,0.71,NULL,NULL,NULL,NULL,0
2019-11-12,0.66,NULL,NULL,NULL,NULL,0
2019-11-13,0.67,NULL,NULL,NULL,NULL,0
2019-11-14,0.67,NULL,NULL,NULL,NULL,0
2019-11-15,0.61,NULL,NULL,NULL,NULL,0
2019-11-18,0.57,NULL,NULL,NULL,NULL,0
2019-11-19,0.52,NULL,NULL,NULL,NULL,0
2019-11-20,0.49,NULL,NULL,NULL,NULL,0
2019-11-21,0.52,NULL,NULL,NULL,NULL,0
2019-11-22,0.53,NULL,NULL,NULL,NULL,0
2019-11-25,0.53,NULL,NULL,NULL,NULL,0
2019-11-26,0.50,NULL,NULL,NULL,NULL,0
2019-11-27,0.48,NULL,NULL,NULL,NULL,0
2019-11-28,0.48,NULL,NULL,NULL,NULL,0
2019-11-29,0.54,0.55,0.55,0.55,0.55,13000
2019-12-02,0.51,0.52,0.52,0.51,0.51,93000
2019-12-03,0.53,NULL,NULL,NULL,NULL,0
2019-12-04,0.53,NULL,NULL,NULL,NULL,0
