date,adj_close,close,high,low,open,volume
2016-08-17,1.74,1.74,1.74,1.70,1.74,143000
2019-10-07,1.77,1.67,1.68,1.67,1.68,15000
2019-10-08,1.80,1.83,1.88,1.74,1.74,257000
2019-10-09,1.60,1.64,1.80,1.64,1.68,453000
2019-10-14,2.04,2.05,2.05,1.72,1.72,463000
2019-10-15,2.18,2.17,2.25,1.83,1.96,592000
2019-10-16,2.19,2.27,2.76,2.27,2.51,470000
2019-10-17,2.12,2.13,2.32,2.13,2.20,185000
2019-10-18,2.28,2.29,2.30,2.11,2.16,289000
2019-10-21,2.08,2.11,2.24,2.11,2.16,155000
2019-10-22,2.10,2.13,2.19,2.11,2.16,114000
2019-10-23,1.98,1.98,2.13,1.98,2.11,159000
2019-10-24,2.05,2.04,2.09,2.01,2.06,164000
2019-10-25,2.03,2.12,2.12,2.05,2.06,164000
2019-10-28,2.10,2.11,2.37,2.11,2.27,447000
2019-10-29,1.96,2.17,2.17,2.09,2.11,435000
2019-10-30,2.04,2.01,2.01,1.95,1.98,175000
2019-10-31,1.77,2.01,2.09,2.01,2.09,121000
2019-11-01,1.55,NULL,NULL,NULL,NULL,0
2019-11-04,1.63,1.58,1.60,1.58,1.59,35000
2019-11-05,1.80,1.78,1.81,1.65,1.65,232000
2019-11-06,1.86,1.76,2.00,1.76,1.91,253000
2019-11-07,1.62,1.72,1.75,1.69,1.75,66000
2019-11-08,1.75,1.74,1.90,1.59,1.72,139000
2019-11-11,1.62,1.69,1.71,1.54,1.59,154000
2019-11-12,1.58,1.58,1.66,1.58,1.66,135000
2019-11-13,1.63,1.65,1.65,1.56,1.56,40000
2019-11-14,1.51,1.49,1.49,1.49,1.49,30000
2019-11-15,1.62,1.68,1.72,1.57,1.57,363000
2019-11-18,1.67,1.68,1.72,1.56,1.57,402000
2019-11-19,1.70,1.69,1.69,1.59,1.62,93000
2019-11-20,1.69,1.70,1.79,1.68,1.79,46000
2019-11-21,1.66,1.66,1.66,1.48,1.51,92000
2019-11-22,1.70,1.70,1.75,1.66,1.67,89000
2019-11-25,1.58,1.77,2.18,1.77,2.07,72000
2019-11-26,1.83,1.82,1.84,1.64,1.65,228000
2019-11-27,1.59,1.56,1.73,1.56,1.72,209000
2019-11-28,1.54,1.59,1.64,1.53,1.56,50000
2019-11-29,1.44,1.45,1.55,1.34,1.55,74000
2019-12-02,1.28,1.29,1.42,1.27,1.42,27000
2019-12-03,1.28,1.29,1.29,1.25,1.25,87000
2019-12-04,1.13,1.19,1.25,1.19,1.23,87000
