date,adj_close,close,high,low,open,volume
2017-07-07,0.99,0.99,1.00,0.95,0.98,537000
2017-07-10,0.97,0.98,1.01,0.94,0.95,755000
2017-07-11,0.78,0.79,0.90,0.79,0.88,457000
2017-07-12,0.78,0.78,0.79,0.75,0.79,260000
2017-07-13,0.69,0.69,0.74,0.68,0.72,722000
2017-07-14,0.70,0.71,0.71,0.70,0.70,70000
2017-07-17,0.66,0.67,0.67,0.65,0.65,11000
2017-07-18,0.63,0.64,0.67,0.64,0.67,115000
2017-07-19,0.59,0.59,0.61,0.57,0.60,451000
2017-07-20,0.57,0.57,0.57,0.55,0.55,102000
2017-07-21,0.61,0.61,0.61,0.60,0.60,560000
2017-07-24,0.58,0.60,0.64,0.60,0.64,50000
2017-07-25,0.56,NULL,NULL,NULL,NULL,0
2017-07-26,0.59,0.58,0.58,0.53,0.53,874000
2017-07-27,0.47,0.48,0.53,0.48,0.53,227000
2017-07-28,0.56,0.56,0.57,0.52,0.52,303000
2017-07-31,0.53,0.56,0.56,0.56,0.56,30000
2017-08-01,0.50,0.51,0.51,0.48,0.48,31000
2017-08-02,0.43,NULL,NULL,NULL,NULL,0
2017-08-03,0.46,0.47,0.50,0.47,0.50,40000
2017-08-04,0.42,0.43,0.43,0.42,0.42,116000
2017-08-07,0.35,NULL,NULL,NULL,NULL,0
2017-08-08,0.35,0.35,0.35,0.33,0.33,27000
2017-08-09,0.40,0.40,0.40,0.37,0.38,82000
2017-08-10,0.48,0.48,0.49,0.38,0.38,86000
2017-08-11,0.49,0.49,0.54,0.49,0.54,129000
2017-08-14,0.56,0.55,0.55,0.45,0.45,303000
2017-08-15,0.50,0.50,0.50,0.48,0.48,20000
2017-08-16,0.50,0.52,0.53,0.49,0.49,215000
2017-08-17,0.41,0.41,0.47,0.41,0.45,215000
2017-08-18,0.45,0.45,0.48,0.45,0.46,342000
2017-08-21,0.43,0.43,0.48,0.43,0.45,140000
2017-08-22,0.35,0.35,0.37,0.34,0.37,120000
2017-08-23,0.34,0.33,0.33,0.33,0.33,130000
2017-08-24,0.27,0.28,0.28,0.27,0.28,80000
2017-08-25,0.24,0.25,0.27,0.25,0.27,130000
2017-08-28,0.23,0.24,0.24,0.23,0.24,50000
2017-08-29,0.23,0.24,0.26,0.23,0.26,212000
2017-08-30,0.19,0.20,0.20,0.19,0.20,71000
2017-08-31,0.17,0.18,0.19,0.18,0.18,260000
2017-09-01,0.15,0.15,0.17,0.15,0.17,215000
2017-09-04,0.15,0.16,0.17,0.16,0.17,50000
2017-09-05,0.14,0.15,0.15,0.15,0.15,20000
2017-09-06,0.15,0.15,0.16,0.15,0.15,171000
2017-09-07,0.15,0.16,0.16,0.13,0.13,91000
2017-09-08,0.12,0.12,0.13,0.12,0.13,55000
2017-09-11,0.12,0.12,0.12,0.11,0.11,215000
2017-09-12,0.10,0.10,0.11,0.10,0.10,609000
2017-09-13,0.11,0.11,0.12,0.10,0.10,783000
2017-09-14,0.10,0.10,0.12,0.10,0.12,60000
2017-09-15,0.09,0.09,0.11,0.09,0.11,50000
2017-09-18,0.06,0.06,0.08,0.06,0.07,330000
2017-09-19,0.07,0.08,0.08,0.06,0.06,410000
2017-09-20,0.07,0.07,0.07,0.07,0.07,440000
2017-09-21,0.05,NULL,NULL,NULL,NULL,0
2017-09-22,0.08,0.08,0.08,0.08,0.08,30000
2017-09-25,0.11,0.10,0.11,0.10,0.10,400000
2017-09-26,0.13,0.12,0.12,0.09,0.10,410000
2017-09-27,0.09,0.09,0.09,0.09,0.09,10000
2017-09-28,0.09,0.09,0.09,0.09,0.09,30000
2017-09-29,0.08,NULL,NULL,NULL,NULL,0
2017-09-30,0.05,NULL,NULL,NULL,NULL,0
2017-10-02,0.04,NULL,NULL,NULL,NULL,0
2017-10-03,0.03,0.04,0.04,0.04,0.04,20000
2017-10-05,0.02,0.02,0.02,0.01,0.02,217000
2017-10-06,0.01,NULL,NULL,NULL,NULL,0
2017-10-11,0.01,NULL,NULL,NULL,NULL,0
2017-10-12,0.01,NULL,NULL,NULL,NULL,0
2017-10-13,0.01,NULL,NULL,NULL,NULL,0
2017-10-16,0.01,0.01,0.01,0.01,0.01,100000
2017-10-17,0.01,NULL,NULL,NULL,NULL,0
2017-10-18,0.01,NULL,NULL,NULL,NULL,0
2017-10-19,0.01,NULL,NULL,NULL,NULL,0
2017-10-20,0.01,NULL,NULL,NULL,NULL,0
2017-10-23,0.01,NULL,NULL,NULL,NULL,0
2017-10-24,0.01,0.01,0.01,0.01,0.01,20000
2017-10-25,0.01,NULL,NULL,NULL,NULL,0
2018-08-29,2.64,NULL,NULL,NULL,NULL,0
2018-08-30,2.96,2.93,2.93,2.66,2.66,103000
2018-08-31,2.96,2.94,2.97,2.94,2.97,103000
2018-09-03,3.06,NULL,NULL,NULL,NULL,0
