date,adj_close,close,high,low,open,volume
2019-11-11,0.98,NULL,NULL,NULL,NULL,0
2019-11-12,NULL,NULL,NULL,NULL,NULL,0
2019-11-13,1.49,NULL,NULL,NULL,NULL,0
2019-11-14,1.81,1.79,1.97,1.79,1.95,27000
2019-11-15,1.69,1.71,1.87,1.70,1.87,31000
2019-11-18,1.60,NULL,NULL,NULL,NULL,0
2019-11-19,1.71,1.71,1.71,1.64,1.64,221000
2019-11-20,1.63,1.64,1.73,1.62,1.73,228000
2019-11-21,1.58,1.58,1.64,1.50,1.50,147000
2019-11-22,0.71,1.59,1.59,1.54,1.55,140000
2019-11-25,1.65,1.67,1.68,1.62,1.62,314000
2019-11-26,1.74,1.84,1.84,1.79,1.82,318000
2019-11-27,2.17,2.20,2.20,2.02,2.04,92000
2019-11-28,2.15,2.18,2.22,2.15,2.20,167000
2019-11-29,2.02,2.18,2.21,2.18,2.21,71000
2019-12-02,0.80,2.20,2.20,2.07,2.13,241000
2019-12-03,2.83,2.87,2.96,2.13,2.15,335000
2019-12-04,2.77,2.90,3.15,2.80,2.86,173000
