date,adj_close,close,high,low,open,volume
2016-08-17,0.61,NULL,NULL,NULL,NULL,0
2019-08-26,1.60,NULL,NULL,NULL,NULL,0
2019-08-27,1.61,1.77,1.77,1.73,1.73,221000
2019-08-28,1.61,1.57,1.57,1.52,1.54,221000
2019-08-29,1.58,1.69,1.70,1.67,1.70,279000
2019-08-30,1.63,1.58,1.66,1.58,1.61,407000
2019-09-02,1.54,1.69,1.74,1.69,1.69,188000
2019-09-03,1.40,1.48,1.51,1.46,1.47,409000
2019-09-04,0.76,1.41,1.41,1.41,1.41,75000
2019-09-05,1.72,1.65,1.68,1.47,1.47,446000
2019-09-06,1.71,1.71,1.71,1.63,1.64,160000
2019-09-09,1.69,1.79,1.82,1.79,1.82,12000
2019-09-10,1.71,1.74,1.82,1.74,1.82,127000
2019-09-11,2.07,2.22,2.24,1.70,1.70,815000
2019-09-12,2.11,2.13,2.22,2.00,2.06,908000
2019-09-16,2.07,2.09,2.28,2.06,2.22,237000
2019-09-17,2.02,2.04,2.27,2.03,2.13,315000
2019-09-18,1.80,1.80,1.99,1.80,1.99,291000
2019-09-19,1.87,1.88,1.90,1.83,1.83,61000
2019-09-20,1.95,1.94,1.94,1.84,1.92,150000
2019-09-23,1.98,2.02,2.04,1.90,1.91,380000
2019-09-24,1.93,1.94,2.05,1.94,2.05,258000
2019-09-25,1.92,1.91,1.95,1.86,1.86,135000
2019-09-26,1.83,1.86,2.00,1.86,2.00,380000
2019-09-27,1.68,1.70,1.84,1.67,1.84,280000
2019-10-01,1.81,1.81,1.85,1.76,1.76,435000
2019-10-02,1.78,1.80,2.02,1.80,1.91,572000
2019-10-03,2.01,2.00,2.02,1.68,1.69,392000
2019-10-04,2.18,2.29,2.36,1.94,2.05,885000
2019-10-07,2.11,2.09,2.28,2.09,2.27,630000
2019-10-08,1.95,1.97,2.17,1.95,2.17,158000
2019-10-09,1.89,1.91,2.06,1.86,2.00,84000
2019-10-14,1.95,1.99,2.05,1.99,2.03,47000
2019-10-15,1.96,1.97,2.18,1.97,2.00,283000
2019-10-16,1.87,1.86,2.04,1.86,1.98,412000
2019-10-17,2.00,2.02,2.02,1.86,1.87,431000
2019-10-18,2.20,2.20,2.23,2.05,2.06,594000
2019-10-21,2.02,2.03,2.59,2.02,2.25,283000
2019-10-22,2.14,2.13,2.16,1.94,2.06,534000
2019-10-23,2.04,2.03,2.15,2.02,2.11,422000
2019-10-24,2.17,2.16,2.22,2.07,2.12,447000
2019-10-25,2.19,2.19,2.34,2.14,2.21,502000
2019-10-28,2.61,2.60,2.67,2.27,2.34,534000
2019-10-29,2.32,2.35,2.67,2.27,2.61,429000
2019-10-30,2.29,2.28,2.36,2.28,2.30,142000
2019-10-31,2.02,2.03,2.42,2.03,2.39,201000
2019-11-01,2.09,2.10,2.12,2.03,2.07,153000
2019-11-04,2.02,2.01,2.07,2.01,2.06,102000
2019-11-05,1.96,1.92,2.05,1.92,2.03,100000
2019-11-06,1.80,1.82,2.10,1.82,2.02,137000
2019-11-07,1.61,1.59,1.80,1.56,1.73,185000
2019-11-08,1.56,1.62,1.69,1.57,1.67,95000
2019-11-11,1.38,1.38,1.48,1.37,1.48,1038000
2019-11-12,1.62,1.62,1.63,1.44,1.46,1204000
2019-11-13,1.45,1.45,1.55,1.44,1.51,280000
2019-11-14,1.39,1.38,1.46,1.38,1.46,70000
2019-11-15,1.37,1.39,1.47,1.39,1.42,112000
2019-11-18,1.52,1.55,1.58,1.38,1.39,444000
2019-11-19,1.49,1.52,1.59,1.47,1.55,466000
2019-11-20,1.44,1.45,1.53,1.43,1.51,112000
2019-11-21,1.46,1.42,1.44,1.30,1.36,215000
2019-11-22,1.51,1.51,1.52,1.41,1.45,718000
2019-11-25,1.56,1.58,1.61,1.53,1.53,105000
2019-11-26,1.51,1.52,1.60,1.52,1.60,757000
2019-11-27,1.70,1.70,1.70,1.56,1.56,574000
2019-11-28,1.59,1.58,1.67,1.58,1.67,322000
2019-11-29,1.38,1.39,1.58,1.37,1.54,297000
2019-12-02,1.29,1.30,1.41,1.22,1.41,280000
2019-12-03,1.35,1.36,1.36,1.21,1.23,243000
2019-12-04,1.34,1.34,1.41,1.31,1.33,223000
