date,adj_close,close,high,low,open,volume
2016-08-17,1.55,1.56,1.62,1.52,1.52,1294000
2019-09-19,1.95,NULL,NULL,NULL,NULL,0
2019-09-20,2.00,NULL,NULL,NULL,NULL,0
2019-09-23,2.00,2.03,2.05,2.03,2.05,12000
2019-09-24,1.89,1.93,1.95,1.93,1.95,20000
2019-09-25,1.90,NULL,NULL,NULL,NULL,0
2019-09-26,1.96,1.98,1.98,1.98,1.98,10000
2019-09-27,1.50,1.68,2.01,1.68,2.01,20000
2019-10-01,1.78,1.72,1.72,1.68,1.68,77000
2019-10-02,1.74,1.83,1.83,1.63,1.67,115000
2019-10-03,1.64,1.72,1.72,1.63,1.63,53000
2019-10-04,1.61,1.68,1.70,1.68,1.70,25000
2019-10-07,1.58,1.57,1.57,1.57,1.57,10000
2019-10-08,1.62,NULL,NULL,NULL,NULL,0
2019-10-09,1.50,NULL,NULL,NULL,NULL,0
2019-10-14,1.47,1.58,1.58,1.58,1.58,38000
2019-10-15,1.14,1.47,1.47,1.47,1.47,48000
2019-10-16,1.19,1.16,1.25,1.16,1.25,15000
2019-10-17,1.30,1.31,1.31,1.30,1.30,51000
2019-10-18,1.26,1.33,1.34,1.33,1.34,51000
2019-10-21,1.20,NULL,NULL,NULL,NULL,0
2019-10-22,1.15,NULL,NULL,NULL,NULL,0
2019-10-23,1.25,1.26,1.26,1.22,1.22,145000
2019-10-24,1.28,1.22,1.22,1.18,1.18,145000
2019-10-25,1.21,NULL,NULL,NULL,NULL,0
2019-10-28,1.09,NULL,NULL,NULL,NULL,0
2019-10-29,1.01,NULL,NULL,NULL,NULL,0
2019-10-30,1.05,NULL,NULL,NULL,NULL,0
2019-10-31,0.95,NULL,NULL,NULL,NULL,0
2019-11-01,1.00,1.01,1.01,1.01,1.01,190000
2019-11-04,1.04,1.04,1.04,0.98,0.98,190000
2019-11-05,0.98,1.04,1.04,1.04,1.04,100000
2019-11-06,0.94,1.00,1.00,0.99,0.99,110000
2019-11-07,1.53,1.53,1.53,1.39,1.39,11000
2019-11-08,2.09,2.09,2.09,1.78,1.78,26000
2019-11-11,2.16,NULL,NULL,NULL,NULL,0
2019-11-12,2.68,2.66,2.72,2.39,2.39,48000
2019-11-13,2.66,2.75,2.91,2.56,2.60,65000
2019-11-14,2.30,2.31,2.63,2.17,2.63,51000
2019-11-15,2.16,2.22,2.80,2.22,2.53,86000
2019-11-18,2.23,2.26,2.36,2.08,2.19,74000
2019-11-19,2.31,2.28,2.29,2.17,2.17,45000
2019-11-20,2.22,2.24,2.25,2.24,2.25,20000
2019-11-21,1.95,1.86,1.99,1.86,1.99,44000
2019-11-22,1.75,1.76,1.90,1.76,1.90,61000
2019-11-25,1.86,1.89,1.89,1.82,1.82,21000
2019-11-26,1.85,1.80,1.80,1.80,1.80,10000
2019-11-27,1.77,1.80,1.85,1.80,1.81,20000
2019-11-28,1.69,1.70,1.84,1.70,1.84,40000
2019-11-29,1.41,1.54,1.66,1.54,1.64,31000
2019-12-02,1.35,1.28,1.35,1.28,1.35,33000
2019-12-03,1.38,1.33,1.33,1.33,1.33,1000
2019-12-04,1.57,1.56,1.63,1.38,1.38,260000
