date,adj_close,close,high,low,open,volume
2016-08-17,0.44,0.45,0.45,0.44,0.45,55000
2019-06-11,1.77,1.77,1.83,1.77,1.79,23000
2019-06-12,1.78,1.80,1.86,1.75,1.76,86000
2019-06-13,1.81,1.85,1.85,1.76,1.82,77000
2019-06-14,1.79,1.82,1.84,1.82,1.84,16000
2019-06-17,0.42,1.76,1.86,1.76,1.86,51000
2019-06-18,1.80,1.79,1.85,1.76,1.76,123000
2019-06-19,1.88,1.88,2.01,1.86,1.96,172000
2019-06-20,1.87,1.89,1.99,1.88,1.93,210000
2019-06-21,1.88,1.86,1.94,1.86,1.91,190000
2019-06-24,1.81,1.83,1.87,1.81,1.86,77000
2019-06-25,1.70,1.70,1.79,1.70,1.79,233000
2019-06-26,1.68,1.74,1.74,1.65,1.65,23000
2019-06-27,1.66,1.67,1.69,1.65,1.69,95000
2019-06-28,1.65,1.66,1.70,1.66,1.68,117000
2019-07-01,1.78,1.79,1.79,1.69,1.69,139000
2019-07-02,1.68,1.69,1.79,1.69,1.79,340000
2019-07-03,1.69,1.73,1.73,1.72,1.73,10000
2019-07-04,1.79,1.80,1.80,1.72,1.73,60000
2019-07-05,1.72,1.69,1.84,1.68,1.81,84000
2019-07-08,1.58,1.59,1.62,1.59,1.62,69000
2019-07-09,1.48,1.49,1.55,1.49,1.55,112000
2019-07-10,1.58,1.58,1.58,1.54,1.58,12000
2019-07-11,1.65,1.69,1.69,1.65,1.65,77000
2019-07-12,1.61,1.62,1.67,1.62,1.67,11000
2019-07-15,1.82,1.82,1.82,1.68,1.68,26000
2019-07-16,1.96,1.94,1.95,1.86,1.86,55000
2019-07-17,1.86,1.94,1.94,1.84,1.91,75000
2019-07-18,1.81,1.83,1.91,1.82,1.91,30000
2019-07-19,1.86,1.90,1.90,1.90,1.90,3000
2019-07-22,1.83,NULL,NULL,NULL,NULL,0
2019-07-23,1.91,1.90,1.96,1.88,1.88,99000
2019-07-24,1.85,1.88,1.94,1.88,1.93,101000
2019-07-25,1.86,1.89,1.89,1.83,1.84,67000
2019-07-26,1.81,1.86,1.88,1.81,1.81,54000
2019-07-29,1.83,1.85,1.85,1.79,1.79,12000
2019-07-30,1.80,1.83,1.86,1.83,1.86,38000
2019-07-31,1.85,1.84,1.84,1.82,1.82,47000
2019-08-01,1.67,1.68,1.78,1.67,1.78,52000
2019-08-02,1.57,1.58,1.59,1.58,1.59,27000
2019-08-05,1.53,1.49,1.49,1.49,1.49,9000
2019-08-06,1.40,1.26,1.26,1.26,1.26,14000
2019-08-07,1.51,1.56,1.56,1.56,1.56,8000
2019-08-08,1.41,1.42,1.52,1.42,1.52,67000
2019-08-12,1.37,1.38,1.38,1.38,1.38,2000
2019-08-13,1.31,1.31,1.35,1.31,1.35,8000
2019-08-14,1.37,1.31,1.31,1.31,1.31,12000
2019-08-15,1.27,1.31,1.31,1.31,1.31,40000
2019-08-16,1.14,1.17,1.22,1.17,1.22,15000
2019-08-19,1.13,1.12,1.12,1.12,1.12,20000
2019-08-20,1.18,1.18,1.18,1.09,1.12,73000
2019-08-21,1.24,1.22,1.22,1.22,1.22,50000
2019-08-22,1.27,1.34,1.34,1.28,1.28,2000
2019-08-23,1.24,1.22,1.22,1.21,1.21,21000
2019-08-26,1.18,1.25,1.25,1.25,1.25,40000
2019-08-27,1.22,NULL,NULL,NULL,NULL,0
2019-08-28,1.23,NULL,NULL,NULL,NULL,0
2019-08-29,1.16,NULL,NULL,NULL,NULL,0
2019-08-30,1.20,1.21,1.21,1.21,1.21,49000
2019-09-02,1.23,1.24,1.24,1.22,1.22,123000
2019-09-03,1.17,1.25,1.25,1.22,1.22,76000
2019-09-04,1.30,1.27,1.27,1.23,1.23,132000
2019-09-05,1.20,1.23,1.33,1.22,1.33,200000
2019-09-06,1.27,1.27,1.28,1.27,1.28,50000
2019-09-09,1.35,1.36,1.38,1.35,1.36,235000
2019-09-10,1.38,1.30,1.37,1.30,1.37,255000
2019-09-11,1.31,1.35,1.41,1.35,1.41,55000
2019-09-12,1.37,NULL,NULL,NULL,NULL,0
2019-09-16,1.30,NULL,NULL,NULL,NULL,0
2019-09-17,1.30,1.30,1.30,1.30,1.30,100000
2019-09-18,1.37,1.42,1.42,1.33,1.33,260000
2019-09-19,1.29,1.36,1.38,1.36,1.38,120000
2019-09-20,1.49,1.51,1.58,1.46,1.46,195000
2019-09-23,1.41,1.52,1.55,1.52,1.55,120000
2019-09-24,0.57,1.54,1.54,1.44,1.44,140000
2019-09-25,1.55,1.55,1.59,1.50,1.59,433000
2019-09-26,1.57,1.59,1.65,1.57,1.57,379000
2019-09-27,1.52,1.49,1.50,1.49,1.50,67000
2019-10-01,1.45,1.58,1.58,1.58,1.58,1000
2019-10-02,1.55,1.56,1.56,1.53,1.53,49000
2019-10-03,1.43,1.45,1.46,1.42,1.42,109000
2019-10-04,1.48,1.47,1.47,1.45,1.45,55000
2019-10-07,1.40,1.43,1.43,1.41,1.41,11000
2019-10-08,1.40,1.44,1.46,1.43,1.46,53000
2019-10-09,1.17,1.27,1.27,1.27,1.27,10000
2019-10-14,1.29,1.35,1.35,1.32,1.32,121000
2019-10-15,0.48,1.32,1.32,1.22,1.27,137000
2019-10-16,1.25,1.36,1.36,1.36,1.36,9000
2019-10-17,1.30,1.31,1.31,1.31,1.31,5000
2019-10-18,1.29,NULL,NULL,NULL,NULL,0
2019-10-21,1.29,1.30,1.30,1.30,1.30,5000
2019-10-22,1.33,1.32,1.32,1.29,1.29,36000
2019-10-23,1.29,NULL,NULL,NULL,NULL,0
2019-10-24,1.29,NULL,NULL,NULL,NULL,0
2019-10-25,1.28,1.28,1.28,1.28,1.28,10000
2019-10-28,1.22,1.25,1.25,1.25,1.25,10000
2019-10-29,1.16,1.16,1.22,1.16,1.22,30000
2019-10-30,1.12,1.16,1.16,1.14,1.14,57000
2019-10-31,1.14,1.19,1.22,1.18,1.18,144000
2019-11-01,1.05,1.05,1.09,1.02,1.09,115000
2019-11-04,1.00,1.01,1.01,1.01,1.01,4000
2019-11-05,0.90,0.90,0.90,0.90,0.90,10000
2019-11-06,0.82,0.86,0.86,0.86,0.86,2000
2019-11-07,0.81,0.82,0.82,0.82,0.82,103000
2019-11-08,0.82,0.82,0.83,0.81,0.83,105000
2019-11-11,0.75,0.77,0.77,0.77,0.77,1000
2019-11-12,0.94,0.94,0.94,0.83,0.83,108000
2019-11-13,0.87,0.90,0.97,0.90,0.97,102000
2019-11-14,0.78,NULL,NULL,NULL,NULL,0
2019-11-15,0.91,0.88,0.88,0.88,0.88,10000
2019-11-18,0.84,0.90,0.90,0.90,0.90,10000
2019-11-19,0.85,0.80,0.82,0.80,0.82,5000
2019-11-20,0.86,NULL,NULL,NULL,NULL,0
2019-11-21,0.76,NULL,NULL,NULL,NULL,0
2019-11-22,0.77,0.75,0.75,0.75,0.75,3000
2019-11-25,0.66,0.68,0.69,0.68,0.69,11000
2019-11-26,0.72,0.70,0.70,0.70,0.70,5000
2019-11-27,0.69,NULL,NULL,NULL,NULL,0
2019-11-28,0.71,0.71,0.71,0.71,0.71,3000
2019-11-29,0.66,NULL,NULL,NULL,NULL,0
2019-12-02,0.61,NULL,NULL,NULL,NULL,0
2019-12-03,0.59,NULL,NULL,NULL,NULL,0
2019-12-04,0.56,NULL,NULL,NULL,NULL,0
