date,adj_close,close,high,low,open,volume
2016-08-17,0.10,NULL,NULL,NULL,NULL,0
2017-07-07,1.21,1.22,1.22,1.21,1.21,34000
2017-07-10,1.23,1.21,1.21,1.20,1.20,278000
2017-07-11,1.16,1.15,1.19,1.15,1.19,278000
2017-07-12,1.13,1.14,1.15,1.13,1.15,198000
2017-07-13,1.07,1.05,1.13,1.05,1.11,387000
2017-07-14,1.05,1.06,1.09,1.05,1.06,372000
2017-07-17,0.98,0.98,1.00,0.98,1.00,431000
2017-07-18,0.97,0.98,0.99,0.97,0.99,363000
2017-07-19,0.97,0.98,0.98,0.95,0.95,224000
2017-07-20,0.99,0.99,1.00,0.94,0.95,539000
2017-07-21,0.98,0.99,0.99,0.96,0.96,180000
2017-07-24,0.96,0.96,0.99,0.96,0.99,214000
2017-07-25,0.91,0.92,0.92,0.88,0.91,553000
2017-07-26,0.92,0.93,0.93,0.90,0.91,433000
2017-07-27,0.89,0.90,0.92,0.88,0.90,471000
2017-07-28,0.88,0.88,0.89,0.83,0.86,496000
2017-07-31,0.94,0.95,0.95,0.92,0.92,523000
2017-08-01,0.89,0.90,0.92,0.88,0.92,223000
2017-08-02,0.86,0.87,0.87,0.84,0.86,335000
2017-08-03,0.88,0.89,0.89,0.86,0.87,275000
2017-08-04,0.86,0.84,0.86,0.83,0.86,130000
2017-08-07,0.74,0.75,0.84,0.75,0.84,166000
2017-08-08,0.81,0.82,0.82,0.73,0.73,626000
2017-08-09,0.94,0.95,0.99,0.83,0.88,584000
2017-08-10,0.94,0.94,0.94,0.90,0.90,323000
2017-08-11,0.89,0.90,0.93,0.29,0.29,448000
2017-08-14,0.90,0.91,0.93,0.84,0.89,1063000
2017-08-15,0.88,0.87,0.90,0.86,0.86,669000
2017-08-16,0.87,0.87,0.87,0.82,0.87,310000
2017-08-17,0.76,0.74,0.79,0.74,0.79,40000
2017-08-18,0.80,NULL,NULL,NULL,NULL,0
2017-08-21,0.80,NULL,NULL,NULL,NULL,0
2017-08-22,0.79,NULL,NULL,NULL,NULL,0
2017-08-23,0.80,NULL,NULL,NULL,NULL,0
2017-08-24,0.77,NULL,NULL,NULL,NULL,0
2017-08-25,0.79,0.79,0.79,0.77,0.77,21000
2017-08-28,0.79,0.79,0.79,0.79,0.79,100000
2017-08-29,0.81,0.80,0.82,0.80,0.82,30000
2017-08-30,0.76,NULL,NULL,NULL,NULL,0
2017-08-31,0.76,NULL,NULL,NULL,NULL,0
2017-09-01,0.78,0.79,0.79,0.79,0.79,63000
2017-09-04,0.77,0.78,0.78,0.77,0.77,63000
2017-09-05,0.68,0.70,0.70,0.70,0.70,30000
2017-09-06,0.67,NULL,NULL,NULL,NULL,0
2017-09-07,0.66,0.65,0.65,0.65,0.65,300000
2017-09-08,0.63,0.65,0.65,0.61,0.63,300000
2017-09-11,0.64,0.64,0.64,0.64,0.64,82000
2017-09-12,0.59,0.59,0.62,0.59,0.62,128000
2017-09-13,0.61,0.60,0.60,0.59,0.59,14000
2017-09-14,0.64,0.62,0.63,0.62,0.63,65000
2017-09-15,0.63,0.64,0.65,0.64,0.65,63000
2017-09-18,0.63,0.64,0.64,0.61,0.61,146000
2017-09-19,0.62,0.61,0.62,0.61,0.62,88000
2017-09-20,0.69,0.69,0.69,0.66,0.66,379000
2017-09-21,0.66,0.68,0.68,0.67,0.68,360000
2017-09-22,0.68,0.68,0.68,0.65,0.65,125000
2017-09-25,0.75,0.75,0.75,0.70,0.70,363000
2017-09-26,0.74,0.72,0.76,0.72,0.75,241000
2017-09-27,0.72,NULL,NULL,NULL,NULL,0
2017-09-28,0.70,0.69,0.69,0.69,0.69,14000
2017-09-29,0.72,0.73,0.73,0.73,0.73,73000
2017-09-30,0.68,0.70,0.70,0.70,0.70,73000
2017-10-02,0.65,0.68,0.68,0.68,0.68,30000
2017-10-03,0.62,NULL,NULL,NULL,NULL,0
2017-10-05,0.62,0.65,0.65,0.65,0.65,5000
2017-10-06,0.62,0.62,0.62,0.62,0.62,107000
2017-10-11,0.63,0.61,0.61,0.61,0.61,100000
2017-10-12,0.60,0.60,0.60,0.60,0.60,2000
2017-10-13,0.61,0.62,0.62,0.62,0.62,100000
2017-10-16,0.59,0.60,0.60,0.60,0.60,100000
2017-10-17,0.64,0.65,0.65,0.64,0.64,180000
2017-10-18,0.66,0.67,0.67,0.62,0.62,200000
2017-10-19,0.68,0.69,0.70,0.64,0.66,290000
2017-10-20,0.64,0.64,0.67,0.64,0.67,110000
2017-10-23,0.64,NULL,NULL,NULL,NULL,0
2017-10-24,0.60,NULL,NULL,NULL,NULL,0
2017-10-25,0.61,NULL,NULL,NULL,NULL,0
2017-10-26,0.60,NULL,NULL,NULL,NULL,0
2017-10-27,0.59,NULL,NULL,NULL,NULL,0
2017-10-30,0.61,0.61,0.61,0.61,0.61,100000
2017-10-31,0.55,0.57,0.59,0.57,0.59,100000
2017-11-01,0.52,NULL,NULL,NULL,NULL,0
2017-11-02,0.51,NULL,NULL,NULL,NULL,0
2017-11-03,0.49,0.51,0.51,0.51,0.51,100000
2017-11-06,0.48,0.49,0.49,0.48,0.48,100000
2017-11-07,0.47,0.48,0.48,0.48,0.48,64000
2017-11-08,0.46,0.46,0.46,0.45,0.45,54000
2017-11-09,0.53,0.50,0.50,0.49,0.49,109000
2017-11-10,0.54,0.55,0.58,0.54,0.54,613000
2017-11-13,0.56,0.57,0.57,0.53,0.53,594000
2017-11-14,0.56,0.57,0.57,0.56,0.56,110000
2017-11-15,0.56,0.57,0.57,0.57,0.57,20000
2017-11-16,0.51,0.52,0.52,0.52,0.52,80000
2017-11-17,0.46,NULL,NULL,NULL,NULL,0
2017-11-20,0.48,0.47,0.47,0.47,0.47,6000
2017-11-21,0.48,NULL,NULL,NULL,NULL,0
2017-11-22,0.44,NULL,NULL,NULL,NULL,0
2017-11-23,0.38,NULL,NULL,NULL,NULL,0
2017-11-24,0.36,NULL,NULL,NULL,NULL,0
2017-11-27,0.33,0.30,0.30,0.30,0.30,6000
2017-11-28,0.33,NULL,NULL,NULL,NULL,0
2017-11-29,0.33,NULL,NULL,NULL,NULL,0
2017-11-30,0.34,0.33,0.33,0.33,0.33,1000
2017-12-01,0.32,NULL,NULL,NULL,NULL,0
2017-12-04,0.30,NULL,NULL,NULL,NULL,0
2017-12-05,0.30,NULL,NULL,NULL,NULL,0
2017-12-06,0.34,NULL,NULL,NULL,NULL,0
2017-12-07,0.31,NULL,NULL,NULL,NULL,0
2017-12-08,0.27,NULL,NULL,NULL,NULL,0
2017-12-11,0.22,NULL,NULL,NULL,NULL,0
2017-12-12,0.21,NULL,NULL,NULL,NULL,0
2017-12-13,0.18,0.18,0.18,0.18,0.18,5000
2017-12-14,0.15,NULL,NULL,NULL,NULL,0
