date,adj_close,close,high,low,open,volume
2019-04-23,1.43,NULL,NULL,NULL,NULL,0
2019-04-24,1.38,NULL,NULL,NULL,NULL,0
2019-04-25,1.35,1.43,1.43,1.39,1.39,430000
2019-04-26,1.27,1.35,1.35,1.33,1.34,430000
2019-04-29,1.20,NULL,NULL,NULL,NULL,0
2019-04-30,1.22,1.22,1.22,1.22,1.22,10000
2019-05-02,1.23,1.23,1.25,1.23,1.23,805000
2019-05-03,1.19,1.19,1.22,1.19,1.22,840000
2019-05-06,1.06,1.12,1.12,1.12,1.12,25000
2019-05-07,1.11,1.13,1.13,1.13,1.13,10000
2019-05-08,1.06,1.06,1.06,1.06,1.06,10000
2019-05-09,0.96,1.09,1.09,1.09,1.09,10000
2019-05-10,1.08,1.19,1.19,1.04,1.04,1475000
2019-05-13,1.00,1.07,1.10,1.07,1.10,1474000
2019-05-14,0.97,1.00,1.00,1.00,1.00,10000
2019-05-15,1.00,1.04,1.04,1.03,1.03,20000
2019-05-16,0.97,1.01,1.01,1.00,1.00,3000
2019-05-17,0.90,NULL,NULL,NULL,NULL,0
2019-05-20,0.76,NULL,NULL,NULL,NULL,0
2019-05-21,0.84,NULL,NULL,NULL,NULL,0
2019-05-22,0.85,NULL,NULL,NULL,NULL,0
2019-05-23,0.79,NULL,NULL,NULL,NULL,0
2019-05-24,0.80,0.82,0.82,0.82,0.82,10000
2019-05-27,0.80,0.82,0.82,0.82,0.82,20000
2019-05-28,0.82,0.82,0.82,0.82,0.82,10000
2019-05-29,1.08,1.09,1.09,0.95,0.95,776000
2019-05-30,1.03,1.10,1.17,1.09,1.10,1019000
2019-05-31,1.02,1.03,1.05,1.02,1.02,602000
2019-06-03,1.01,1.03,1.05,1.01,1.03,435000
2019-06-04,1.04,1.07,1.10,1.02,1.02,249000
2019-06-05,1.01,1.03,1.10,1.03,1.09,144000
2019-06-06,0.99,1.01,1.07,1.01,1.04,457000
2019-06-10,0.99,1.00,1.02,0.98,1.01,474000
2019-06-11,1.03,1.05,1.05,1.00,1.01,122000
2019-06-12,1.06,1.07,1.21,1.07,1.10,1149000
2019-06-13,1.04,1.05,1.09,1.02,1.05,1069000
2019-06-14,1.04,NULL,NULL,NULL,NULL,0
2019-06-17,1.05,1.06,1.06,1.06,1.06,2000
2019-06-18,1.03,1.05,1.08,1.05,1.08,179000
2019-06-19,1.04,1.06,1.07,1.06,1.07,174000
2019-06-20,1.09,1.10,1.10,1.08,1.08,109000
2019-06-21,1.04,1.06,1.12,1.06,1.12,136000
2019-06-24,1.00,NULL,NULL,NULL,NULL,0
2019-06-25,0.97,NULL,NULL,NULL,NULL,0
2019-06-26,0.95,NULL,NULL,NULL,NULL,0
2019-06-27,0.95,0.96,0.97,0.96,0.97,13000
2019-06-28,0.91,NULL,NULL,NULL,NULL,0
2019-07-01,0.95,0.96,0.96,0.95,0.95,32000
2019-07-02,0.97,0.98,1.00,0.97,0.97,122000
2019-07-03,0.96,0.97,0.98,0.96,0.97,51000
2019-07-04,0.97,0.98,1.00,0.98,1.00,45000
2019-07-05,0.96,0.97,0.97,0.97,0.97,10000
2019-07-08,0.95,0.97,0.97,0.97,0.97,20000
2019-07-09,0.95,0.97,0.98,0.97,0.98,60000
2019-07-10,0.97,0.98,1.01,0.97,0.97,111000
2019-07-11,0.91,0.92,0.98,0.92,0.98,263000
2019-07-12,0.88,0.89,0.91,0.89,0.91,160000
2019-07-15,0.87,0.88,0.90,0.88,0.90,140000
2019-07-16,0.87,0.88,0.88,0.88,0.88,60000
2019-07-17,0.88,0.87,0.88,0.87,0.88,130000
2019-07-18,0.85,0.85,0.86,0.85,0.86,140000
2019-07-19,0.83,0.83,0.85,0.83,0.85,180000
2019-07-22,0.91,0.91,0.96,0.83,0.83,610000
2019-07-23,0.90,0.90,0.99,0.90,0.96,1071000
2019-07-24,0.91,0.91,0.93,0.91,0.91,850000
2019-07-25,0.92,0.92,0.94,0.92,0.94,300000
2019-07-26,0.91,0.91,0.92,0.91,0.92,700000
2019-07-29,0.87,0.87,0.91,0.87,0.91,489000
2019-07-30,0.80,0.81,0.88,0.81,0.88,901000
2019-07-31,0.78,0.78,0.78,0.77,0.78,500000
2019-08-01,0.73,0.74,0.74,0.73,0.74,479000
2019-08-02,0.67,0.68,0.71,0.68,0.71,160000
2019-08-05,0.63,0.64,0.68,0.64,0.68,630000
2019-08-06,0.64,0.65,0.65,0.55,0.55,160000
2019-08-07,0.61,0.62,0.66,0.62,0.66,540000
2019-08-08,0.66,0.69,0.69,0.67,0.67,12000
2019-08-12,0.65,0.66,0.68,0.65,0.65,510000
2019-08-13,0.63,0.63,0.66,0.63,0.66,300000
2019-08-14,0.71,0.71,0.73,0.70,0.73,300000
2019-08-15,0.82,0.83,0.83,0.70,0.70,701000
2019-08-16,0.82,0.83,0.91,0.82,0.86,1200000
2019-08-19,1.11,1.11,1.15,0.87,0.87,1462000
2019-08-20,1.02,1.03,1.17,1.03,1.17,530000
2019-08-21,1.07,1.08,1.08,1.04,1.07,319000
2019-08-22,1.03,1.04,1.16,1.03,1.14,470000
2019-08-23,1.05,1.07,1.13,1.03,1.05,444000
2019-08-26,0.94,0.94,1.01,0.94,1.00,578000
2019-08-27,0.97,0.98,0.98,0.97,0.97,70000
2019-08-28,0.97,1.00,1.04,0.99,1.00,480000
2019-08-29,1.13,1.19,1.19,1.04,1.04,280000
2019-08-30,1.14,1.14,1.23,1.14,1.19,879000
2019-09-02,1.32,1.32,1.32,1.17,1.20,1063000
2019-09-03,1.70,1.70,1.82,1.29,1.34,1376000
2019-09-04,2.40,2.58,2.58,1.77,1.82,859000
2019-09-05,2.34,2.34,2.91,2.34,2.68,1445000
2019-09-06,2.54,2.62,2.62,2.26,2.51,69000
2019-09-09,2.31,2.37,2.49,2.30,2.49,52000
2019-09-10,1.95,2.07,2.34,2.07,2.17,127000
2019-09-11,1.69,1.75,2.07,1.75,2.07,251000
2019-09-12,1.71,1.72,1.72,1.69,1.71,33000
2019-09-16,1.35,1.34,1.71,1.34,1.71,307000
2019-09-17,1.36,1.36,1.42,1.36,1.42,100000
2019-09-18,1.25,1.24,1.34,1.24,1.34,105000
2019-10-01,0.88,0.89,0.91,0.89,0.91,45000
2019-10-02,0.92,0.99,0.99,0.89,0.89,729000
2019-10-03,0.86,0.87,0.91,0.81,0.82,703000
2019-10-04,0.87,0.96,0.96,0.95,0.95,40000
2019-10-07,0.80,0.82,0.90,0.82,0.90,86000
2019-10-08,0.83,0.83,0.96,0.83,0.88,193000
2019-10-09,0.73,0.82,0.82,0.82,0.82,191000
2019-10-14,0.66,0.67,0.73,0.67,0.73,115000
2019-10-15,0.61,0.63,0.68,0.63,0.65,136000
2019-10-16,0.67,0.66,0.72,0.64,0.66,508000
2019-10-17,0.64,0.64,0.65,0.62,0.64,467000
2019-10-18,0.68,0.71,0.71,0.67,0.68,301000
2019-10-21,1.09,1.09,1.09,0.68,0.69,845000
