,date,adj_close,close,high,low,open,volume,nas_open,nas_high,nas_low,nas_close,nas_adj_close,dji_open,dji_high,dji_low,dji_close,dji_adj_close,sp_open,sp_high,sp_low,sp_close,sp_adj_close,sox_open,sox_high,sox_low,sox_close,sox_adj_close
0,2004-02-12,48.54,48.59,49.26,48.4,48.5,8114000.0,2061.10009765625,2075.330078125,2060.43994140625,2075.330078125,2075.330078125,10578.740234375,10626.66015625,10559.259765625,10613.849609375,10613.849609375,1139.81005859375,1147.02001953125,1138.699951171875,1145.5400390625,1145.5400390625,514.1599731445311,519.3800048828125,511.7300109863281,516.9400024414061,516.6900024414061
1,2004-02-13,49.41,49.46,49.47,48.6,48.61,6138000.0,2072.89990234375,2089.659912109375,2064.77001953125,2089.659912109375,2089.659912109375,10605.48046875,10746.8798828125,10572.58984375,10737.7001953125,10737.7001953125,1145.5400390625,1158.8900146484375,1142.3299560546875,1157.760009765625,1157.760009765625,516.9400024414061,527.780029296875,516.9400024414061,526.8099975585939,526.5552368164061
2,2004-02-16,49.17,49.2,49.46,49.04,49.46,4154000.0,2084.02001953125,2091.219970703125,2072.06005859375,2073.610107421875,2073.610107421875,10735.1796875,10735.2900390625,10688.3603515625,10694.0703125,10694.0703125,1157.760009765625,1157.760009765625,1151.43994140625,1152.1099853515625,1152.1099853515625,526.8099975585939,530.47998046875,518.530029296875,518.780029296875,518.5291137695311
3,2004-02-17,49.4,49.5,49.5,49.16,49.21,4645000.0,2080.169921875,2085.7099609375,2049.760009765625,2053.56005859375,2053.56005859375,10696.2197265625,10734.6904296875,10604.1396484375,10627.849609375,10627.849609375,1152.1099853515625,1156.8800048828125,1143.239990234375,1145.81005859375,1145.81005859375,518.780029296875,524.8400268554689,505.010009765625,510.5700073242188,510.3230895996094
4,2004-02-18,49.53,49.53,49.7,49.32,49.55,4018000.0,2068.419921875,2084.719970703125,2068.010009765625,2080.35009765625,2080.35009765625,10628.8798828125,10735.25,10628.740234375,10714.8798828125,10714.8798828125,1145.81005859375,1158.97998046875,1145.81005859375,1156.989990234375,1156.989990234375,510.5700073242188,520.5700073242189,510.5700073242188,518.97998046875,518.72900390625
5,2004-02-19,49.96,50.0,50.1,49.57,49.57,6123000.0,2084.22998046875,2088.510009765625,2072.18994140625,2076.469970703125,2076.469970703125,10706.6796875,10720.509765625,10646.9599609375,10671.990234375,10671.990234375,1156.989990234375,1157.4000244140625,1149.5400390625,1151.8199462890625,1151.8199462890625,518.97998046875,527.1199951171875,518.97998046875,522.4600219726561,522.2073364257811
6,2004-02-20,49.95,50.0,50.05,49.7,50.0,1270000.0,2091.7099609375,2094.919921875,2045.9599609375,2045.9599609375,2045.9599609375,10674.58984375,10753.6298828125,10656.58984375,10664.73046875,10664.73046875,1151.8199462890625,1158.5699462890625,1146.8499755859375,1147.06005859375,1147.06005859375,522.4600219726561,535.5499877929689,514.6500244140625,514.72998046875,514.4810180664061
7,2004-02-23,49.56,49.56,50.0,49.5,49.95,2001000.0,2052.1298828125,2052.360107421875,2022.7900390625,2037.9300537109373,2037.9300537109373,10666.2900390625,10688.2197265625,10580.66015625,10619.0302734375,10619.0302734375,1147.06005859375,1149.81005859375,1139.0,1144.1099853515625,1144.1099853515625,514.72998046875,514.72998046875,505.8200073242188,509.7999877929688,509.5534362792969
8,2004-02-24,49.4,49.45,49.62,49.16,49.2,3957000.0,2044.4100341796875,2045.0999755859373,1999.5899658203125,2007.52001953125,2007.52001953125,10619.5498046875,10644.9599609375,10560.4404296875,10609.6201171875,10609.6201171875,1144.1099853515625,1146.68994140625,1136.97998046875,1140.989990234375,1140.989990234375,509.7999877929688,510.1600036621094,491.260009765625,495.80999755859375,495.5702209472656
9,2004-02-25,49.53,49.6,49.62,49.36,49.4,3115000.0,2000.75,2018.0699462890625,1991.050048828125,2005.43994140625,2005.43994140625,10609.5498046875,10637.1103515625,10521.7001953125,10566.3701171875,10566.3701171875,1140.989990234375,1144.5400390625,1134.4300537109375,1139.0899658203125,1139.0899658203125,495.80999755859375,502.0,491.8900146484375,497.2200012207031,496.9795227050781
