Date,Open,High,Low,Close,Adj Close
2004-02-10,10578.740234375,10626.66015625,10559.259765625,10613.849609375,10613.849609375
2004-02-11,10605.48046875,10746.8798828125,10572.58984375,10737.7001953125,10737.7001953125
2004-02-12,10735.1796875,10735.2900390625,10688.3603515625,10694.0703125,10694.0703125
2004-02-13,10696.2197265625,10734.6904296875,10604.1396484375,10627.849609375,10627.849609375
2004-02-17,10628.8798828125,10735.25,10628.740234375,10714.8798828125,10714.8798828125
2004-02-18,10706.6796875,10720.509765625,10646.9599609375,10671.990234375,10671.990234375
2004-02-19,10674.58984375,10753.6298828125,10656.58984375,10664.73046875,10664.73046875
2004-02-20,10666.2900390625,10688.2197265625,10580.66015625,10619.0302734375,10619.0302734375
2004-02-23,10619.5498046875,10644.9599609375,10560.4404296875,10609.6201171875,10609.6201171875
2004-02-24,10609.5498046875,10637.1103515625,10521.7001953125,10566.3701171875,10566.3701171875
2004-02-25,10566.58984375,10615.5595703125,10560.0703125,10601.6201171875,10601.6201171875
2004-02-26,10598.1396484375,10612.1396484375,10539.330078125,10580.1396484375,10580.1396484375
2004-02-27,10581.5498046875,10652.3603515625,10563.6298828125,10583.919921875,10583.919921875
2004-03-01,10582.25,10695.5498046875,10582.2197265625,10678.1396484375,10678.1396484375
2004-03-02,10678.3603515625,10678.3603515625,10568.8798828125,10591.48046875,10591.48046875
2004-03-03,10588.58984375,10610.0,10550.1396484375,10593.1103515625,10593.1103515625
2004-03-04,10593.48046875,10603.25,10562.740234375,10588.0,10588.0
2004-03-05,10582.58984375,10651.330078125,10524.58984375,10595.5498046875,10595.5498046875
2004-03-08,10595.3701171875,10634.2900390625,10526.8896484375,10529.48046875,10529.48046875
2004-03-09,10529.51953125,10529.7001953125,10424.0703125,10456.9599609375,10456.9599609375
2004-03-10,10457.58984375,10473.8603515625,10284.669921875,10296.8896484375,10296.8896484375
2004-03-11,10288.849609375,10321.41015625,10120.3798828125,10128.3798828125,10128.3798828125
2004-03-12,10130.669921875,10241.1904296875,10130.669921875,10240.080078125,10240.080078125
2004-03-15,10238.4501953125,10241.1103515625,10092.4697265625,10102.8896484375,10102.8896484375
2004-03-16,10103.41015625,10221.1103515625,10103.41015625,10184.669921875,10184.669921875
2004-03-17,10184.669921875,10326.51953125,10184.2998046875,10300.2998046875,10300.2998046875
2004-03-18,10298.9599609375,10328.8203125,10214.150390625,10295.7802734375,10295.7802734375
2004-03-19,10295.849609375,10314.58984375,10182.599609375,10186.599609375,10186.599609375
2004-03-22,10185.9296875,10186.150390625,10012.16015625,10064.75,10064.75
2004-03-23,10066.669921875,10131.349609375,10047.41015625,10063.6396484375,10063.6396484375
2004-03-24,10065.41015625,10108.150390625,10007.490234375,10048.23046875,10048.23046875
2004-03-25,10049.5595703125,10226.080078125,10049.490234375,10218.8203125,10218.8203125
2004-03-26,10218.3701171875,10271.7802734375,10181.0400390625,10212.9697265625,10212.9697265625
2004-03-29,10212.91015625,10350.4501953125,10212.91015625,10329.6298828125,10329.6298828125
2004-03-30,10327.6298828125,10387.259765625,10306.150390625,10381.7001953125,10381.7001953125
2004-03-31,10380.8896484375,10401.7001953125,10314.8896484375,10357.7001953125,10357.7001953125
2004-04-01,10357.51953125,10419.0400390625,10342.58984375,10373.330078125,10373.330078125
2004-04-02,10375.330078125,10496.4404296875,10375.330078125,10470.58984375,10470.58984375
2004-04-05,10470.58984375,10558.66015625,10465.6298828125,10558.3701171875,10558.3701171875
2004-04-06,10553.759765625,10570.8095703125,10505.1103515625,10570.8095703125,10570.8095703125
2004-04-07,10569.259765625,10569.259765625,10465.330078125,10480.150390625,10480.150390625
2004-04-08,10482.76953125,10554.099609375,10393.91015625,10442.0302734375,10442.0302734375
2004-04-12,10444.3798828125,10526.26953125,10443.8095703125,10515.5595703125,10515.5595703125
2004-04-13,10516.0498046875,10552.6103515625,10361.990234375,10381.2802734375,10381.2802734375
2004-04-14,10378.099609375,10415.2802734375,10322.9404296875,10377.9501953125,10377.9501953125
2004-04-15,10377.9501953125,10430.6201171875,10322.16015625,10397.4599609375,10397.4599609375
2004-04-16,10398.3203125,10460.0595703125,10376.3896484375,10451.9697265625,10451.9697265625
2004-04-19,10451.6201171875,10451.759765625,10399.4697265625,10437.849609375,10437.849609375
2004-04-20,10437.849609375,10487.669921875,10313.580078125,10314.5,10314.5
2004-04-21,10311.8701171875,10332.8798828125,10250.48046875,10317.26953125,10317.26953125
2004-04-22,10314.990234375,10496.6103515625,10292.2802734375,10461.2001953125,10461.2001953125
2004-04-23,10463.1103515625,10482.91015625,10410.599609375,10472.83984375,10472.83984375
2004-04-26,10472.91015625,10512.7900390625,10418.1201171875,10444.73046875,10444.73046875
2004-04-27,10445.3798828125,10537.349609375,10441.75,10478.16015625,10478.16015625
2004-04-28,10476.669921875,10476.9501953125,10333.8701171875,10342.599609375,10342.599609375
2004-04-29,10339.41015625,10407.9697265625,10219.1796875,10272.26953125,10272.26953125
2004-04-30,10273.0595703125,10333.8701171875,10225.5703125,10225.5703125,10225.5703125
2004-05-03,10227.26953125,10329.0498046875,10227.1298828125,10314.0,10314.0
2004-05-04,10314.3203125,10386.3203125,10266.169921875,10317.2001953125,10317.2001953125
2004-05-05,10316.98046875,10348.349609375,10291.080078125,10310.9501953125,10310.9501953125
2004-05-06,10308.2001953125,10308.2001953125,10170.509765625,10241.259765625,10241.259765625
2004-05-07,10240.6201171875,10271.990234375,10114.8603515625,10117.33984375,10117.33984375
2004-05-10,10116.2802734375,10116.2802734375,9932.740234375,9990.01953125,9990.01953125
2004-05-11,9989.240234375,10038.349609375,9974.0498046875,10019.4697265625,10019.4697265625
2004-05-12,10011.51953125,10048.2099609375,9852.1904296875,10045.16015625,10045.16015625
2004-05-13,10044.3095703125,10074.1103515625,9970.9296875,10010.740234375,10010.740234375
2004-05-14,10008.4296875,10065.6796875,9938.419921875,10012.8701171875,10012.8701171875
2004-05-17,10009.919921875,10009.919921875,9862.76953125,9906.91015625,9906.91015625
2004-05-18,9906.7099609375,9987.0400390625,9906.6396484375,9968.509765625,9968.509765625
2004-05-19,9962.5498046875,10093.2099609375,9933.1103515625,9937.7099609375,9937.7099609375
2004-05-20,9939.1201171875,9970.6396484375,9900.58984375,9937.6396484375,9937.6396484375
2004-05-21,9939.33984375,10036.7802734375,9939.26953125,9966.740234375,9966.740234375
2004-05-24,9968.01953125,10045.4501953125,9927.1396484375,9958.4296875,9958.4296875
2004-05-25,9958.080078125,10121.669921875,9915.8603515625,10117.6201171875,10117.6201171875
2004-05-26,10116.83984375,10128.83984375,10077.8095703125,10109.8896484375,10109.8896484375
2004-05-27,10109.8896484375,10222.240234375,10109.8896484375,10205.2001953125,10205.2001953125
2004-05-28,10205.830078125,10216.6298828125,10172.76953125,10188.4501953125,10188.4501953125
2004-06-01,10187.1796875,10214.5703125,10134.8603515625,10202.650390625,10202.650390625
2004-06-02,10199.7802734375,10288.8095703125,10197.0595703125,10262.9697265625,10262.9697265625
2004-06-03,10261.849609375,10281.919921875,10193.7802734375,10195.91015625,10195.91015625
2004-06-04,10196.830078125,10302.080078125,10196.6904296875,10242.8203125,10242.8203125
2004-06-07,10243.3095703125,10391.150390625,10243.3095703125,10391.080078125,10391.080078125
2004-06-08,10389.41015625,10432.8095703125,10353.0498046875,10432.51953125,10432.51953125
2004-06-09,10431.099609375,10431.3203125,10364.9599609375,10368.4404296875,10368.4404296875
2004-06-10,10367.7998046875,10410.9501953125,10367.7998046875,10410.099609375,10410.099609375
2004-06-14,10401.23046875,10401.2998046875,10307.0498046875,10334.73046875,10334.73046875
2004-06-15,10336.509765625,10428.0498046875,10336.509765625,10380.4296875,10380.4296875
2004-06-16,10380.23046875,10393.419921875,10355.509765625,10379.580078125,10379.580078125
2004-06-17,10378.58984375,10390.009765625,10338.1298828125,10377.51953125,10377.51953125
2004-06-18,10375.8203125,10437.900390625,10358.0,10416.41015625,10416.41015625
2004-06-21,10417.8203125,10440.0498046875,10363.3603515625,10371.4697265625,10371.4697265625
2004-06-22,10370.2099609375,10401.1796875,10307.25,10395.0703125,10395.0703125
2004-06-23,10395.1396484375,10498.669921875,10323.3203125,10479.5703125,10479.5703125
2004-06-24,10477.4296875,10487.4599609375,10433.5595703125,10443.8095703125,10443.8095703125
2004-06-25,10444.240234375,10487.5400390625,10369.919921875,10371.83984375,10371.83984375
2004-06-28,10377.51953125,10464.3798828125,10337.7001953125,10357.08984375,10357.08984375
2004-06-29,10356.349609375,10429.1298828125,10341.6796875,10413.4296875,10413.4296875
2004-06-30,10413.4296875,10471.240234375,10375.669921875,10435.48046875,10435.48046875
2004-07-01,10434.0,10448.08984375,10274.509765625,10334.16015625,10334.16015625
2004-07-02,10334.0,10334.080078125,10264.919921875,10282.830078125,10282.830078125
2004-07-06,10280.259765625,10280.259765625,10191.400390625,10219.33984375,10219.33984375
2004-07-07,10211.919921875,10266.6103515625,10199.2900390625,10240.2900390625,10240.2900390625
2004-07-08,10238.51953125,10263.73046875,10166.25,10171.5595703125,10171.5595703125
2004-07-09,10173.1201171875,10239.25,10173.1201171875,10213.2197265625,10213.2197265625
2004-07-12,10211.75,10257.099609375,10162.1796875,10238.2197265625,10238.2197265625
2004-07-13,10238.3701171875,10257.099609375,10230.6298828125,10247.58984375,10247.58984375
2004-07-14,10232.83984375,10286.8896484375,10172.3896484375,10208.7998046875,10208.7998046875
2004-07-15,10208.2001953125,10235.650390625,10162.9404296875,10163.16015625,10163.16015625
2004-07-16,10162.33984375,10238.3701171875,10135.1298828125,10139.7802734375,10139.7802734375
2004-07-19,10140.9501953125,10148.6298828125,10063.3095703125,10094.0595703125,10094.0595703125
2004-07-20,10094.4296875,10155.6298828125,10072.6796875,10149.0703125,10149.0703125
2004-07-21,10156.2998046875,10237.1201171875,10045.6103515625,10046.1298828125,10046.1298828125
2004-07-22,10047.599609375,10073.490234375,9946.8798828125,10050.330078125,10050.330078125
2004-07-23,10045.4599609375,10045.4697265625,9931.76953125,9962.2197265625,9962.2197265625
2004-07-26,9964.7099609375,10003.7998046875,9913.919921875,9961.919921875,9961.919921875
2004-07-27,9963.5400390625,10103.1298828125,9963.5400390625,10085.1396484375,10085.1396484375
2004-07-28,10084.0302734375,10146.8603515625,9994.2197265625,10117.0703125,10117.0703125
2004-07-29,10115.51953125,10163.009765625,10084.83984375,10129.240234375,10129.240234375
2004-07-30,10129.1201171875,10149.650390625,10086.3203125,10139.7099609375,10139.7099609375
2004-08-02,10138.4501953125,10203.5595703125,10101.3603515625,10179.16015625,10179.16015625
2004-08-03,10178.26953125,10178.2802734375,10102.83984375,10120.240234375,10120.240234375
2004-08-04,10117.9599609375,10162.419921875,10068.1103515625,10126.509765625,10126.509765625
2004-08-05,10127.099609375,10129.08984375,9955.73046875,9963.0302734375,9963.0302734375
2004-08-06,9960.669921875,9960.740234375,9793.0498046875,9815.330078125,9815.330078125
2004-08-09,9816.1396484375,9858.6796875,9811.1201171875,9814.66015625,9814.66015625
2004-08-10,9815.5498046875,9944.669921875,9815.4697265625,9944.669921875,9944.669921875
2004-08-11,9931.240234375,9954.1796875,9841.3603515625,9938.3203125,9938.3203125
2004-08-12,9936.48046875,9936.48046875,9808.5400390625,9814.58984375,9814.58984375
2004-08-13,9814.1103515625,9854.919921875,9783.91015625,9825.349609375,9825.349609375
2004-08-16,9825.349609375,9967.080078125,9825.349609375,9954.5498046875,9954.5498046875
2004-08-17,9955.5,10023.9404296875,9952.1103515625,9972.830078125,9972.830078125
2004-08-18,9964.2197265625,10083.150390625,9934.0498046875,10083.150390625,10083.150390625
2004-08-19,10082.7802734375,10082.7802734375,9989.8701171875,10040.8203125,10040.8203125
2004-08-20,10040.8095703125,10126.8798828125,10012.509765625,10110.1396484375,10110.1396484375
2004-08-23,10111.099609375,10131.080078125,10067.9697265625,10073.0498046875,10073.0498046875
2004-08-24,10074.8896484375,10146.7900390625,10062.1298828125,10098.6298828125,10098.6298828125
2004-08-25,10098.490234375,10199.2099609375,10068.1103515625,10181.740234375,10181.740234375
2004-08-26,10181.0703125,10193.5400390625,10155.8603515625,10173.41015625,10173.41015625
2004-08-27,10174.0703125,10211.25,10166.6904296875,10195.009765625,10195.009765625
2004-08-30,10193.830078125,10196.7802734375,10122.51953125,10122.51953125,10122.51953125
2004-08-31,10121.9697265625,10173.919921875,10074.2197265625,10173.919921875,10173.919921875
2004-09-01,10170.1201171875,10208.26953125,10110.650390625,10168.4599609375,10168.4599609375
2004-09-02,10168.3896484375,10301.490234375,10162.0498046875,10290.2802734375,10290.2802734375
2004-09-03,10277.8203125,10321.76953125,10260.2001953125,10260.2001953125,10260.2001953125
2004-09-07,10261.51953125,10363.3603515625,10261.4501953125,10342.7900390625,10342.7900390625
2004-09-08,10342.419921875,10361.2197265625,10305.1796875,10313.3603515625,10313.3603515625
2004-09-09,10314.6904296875,10337.330078125,10269.490234375,10289.099609375,10289.099609375
2004-09-10,10289.4697265625,10321.919921875,10237.7802734375,10313.0703125,10313.0703125
2004-09-13,10306.650390625,10348.3896484375,10292.5703125,10314.759765625,10314.759765625
2004-09-14,10315.1298828125,10340.1298828125,10303.41015625,10318.16015625,10318.16015625
2004-09-15,10316.900390625,10317.0498046875,10228.7802734375,10231.3603515625,10231.3603515625
2004-09-16,10231.58984375,10281.8798828125,10228.6396484375,10244.490234375,10244.490234375
2004-09-17,10245.8203125,10314.759765625,10245.740234375,10284.4599609375,10284.4599609375
2004-09-20,10283.8701171875,10283.8701171875,10187.1904296875,10204.8896484375,10204.8896484375
2004-09-21,10204.51953125,10270.51953125,10200.25,10244.9296875,10244.9296875
2004-09-22,10244.0498046875,10244.0498046875,10097.3701171875,10109.1796875,10109.1796875
2004-09-23,10108.2900390625,10108.740234375,10031.16015625,10038.900390625,10038.900390625
2004-09-24,10039.419921875,10081.2998046875,10034.849609375,10047.240234375,10047.240234375
2004-09-27,10046.650390625,10046.650390625,9985.3701171875,9988.5400390625,9988.5400390625
2004-09-28,9989.73046875,10099.51953125,9977.919921875,10077.400390625,10077.400390625
2004-09-29,10056.75,10136.240234375,10050.5595703125,10136.240234375,10136.240234375
2004-09-30,10136.3798828125,10142.9404296875,10038.900390625,10080.26953125,10080.26953125
2004-10-01,10082.0400390625,10198.6201171875,10082.0400390625,10192.650390625,10192.650390625
2004-10-04,10191.400390625,10270.3701171875,10191.400390625,10216.5400390625,10216.5400390625
2004-10-05,10216.759765625,10221.1103515625,10158.0703125,10177.6796875,10177.6796875
2004-10-06,10170.7001953125,10240.1396484375,10157.990234375,10239.919921875,10239.919921875
2004-10-07,10239.83984375,10240.9501953125,10124.51953125,10125.400390625,10125.400390625
2004-10-08,10124.1103515625,10148.0400390625,10036.3203125,10055.2001953125,10055.2001953125
2004-10-11,10056.08984375,10098.7802734375,10056.08984375,10081.9697265625,10081.9697265625
2004-10-12,10080.419921875,10102.330078125,10017.150390625,10077.1796875,10077.1796875
2004-10-13,10085.2099609375,10127.169921875,9957.7900390625,10002.330078125,10002.330078125
2004-10-14,10002.5400390625,10003.3603515625,9875.1298828125,9894.4501953125,9894.4501953125
2004-10-15,9895.6298828125,9982.7099609375,9895.5498046875,9933.3798828125,9933.3798828125
2004-10-18,9932.98046875,9960.150390625,9861.6298828125,9956.3203125,9956.3203125
2004-10-19,9958.3798828125,10020.5498046875,9894.8896484375,9897.6201171875,9897.6201171875
2004-10-20,9895.1904296875,9895.7001953125,9804.1904296875,9886.9296875,9886.9296875
2004-10-21,9884.650390625,9903.150390625,9800.8701171875,9865.759765625,9865.759765625
2004-10-22,9863.849609375,9883.25,9753.01953125,9757.8095703125,9757.8095703125
2004-10-25,9757.2197265625,9777.8701171875,9708.400390625,9749.990234375,9749.990234375
2004-10-26,9750.58984375,9888.48046875,9749.5498046875,9888.48046875,9888.48046875
2004-10-27,9888.25,10018.5498046875,9841.9501953125,10002.0302734375,10002.0302734375
2004-10-28,9998.9404296875,10044.9501953125,9952.48046875,10004.5400390625,10004.5400390625
2004-10-29,10004.6904296875,10044.1396484375,9990.830078125,10027.4697265625,10027.4697265625
2004-11-01,10028.73046875,10076.58984375,10010.150390625,10054.3896484375,10054.3896484375
2004-11-02,10053.8701171875,10132.990234375,10011.1796875,10035.73046875,10035.73046875
2004-11-03,10037.5,10215.509765625,10037.4296875,10137.0498046875,10137.0498046875
2004-11-04,10132.48046875,10318.23046875,10127.98046875,10314.759765625,10314.759765625
2004-11-05,10317.0498046875,10416.669921875,10316.98046875,10387.5400390625,10387.5400390625
2004-11-08,10385.150390625,10405.6904296875,10361.4404296875,10391.3095703125,10391.3095703125
2004-11-09,10387.6201171875,10427.8095703125,10368.58984375,10386.3701171875,10386.3701171875
2004-11-10,10378.58984375,10439.400390625,10378.58984375,10385.48046875,10385.48046875
2004-11-11,10386.9501953125,10486.650390625,10386.9501953125,10469.83984375,10469.83984375
2004-11-12,10469.2099609375,10539.599609375,10460.400390625,10539.009765625,10539.009765625
2004-11-15,10541.8896484375,10563.01953125,10517.1298828125,10550.240234375,10550.240234375
2004-11-16,10549.7900390625,10549.7900390625,10477.9501953125,10487.650390625,10487.650390625
2004-11-17,10481.830078125,10602.849609375,10481.830078125,10549.5703125,10549.5703125
2004-11-18,10549.2001953125,10585.259765625,10547.3896484375,10572.5498046875,10572.5498046875
2004-11-19,10571.6298828125,10573.740234375,10438.580078125,10456.91015625,10456.91015625
2004-11-22,10455.73046875,10508.0400390625,10432.009765625,10489.419921875,10489.419921875
2004-11-23,10486.6904296875,10514.990234375,10436.3798828125,10492.599609375,10492.599609375
2004-11-24,10493.8603515625,10527.400390625,10482.259765625,10520.3095703125,10520.3095703125
2004-11-26,10518.6904296875,10543.2900390625,10508.5595703125,10522.23046875,10522.23046875
2004-11-29,10520.6396484375,10557.41015625,10417.080078125,10475.900390625,10475.900390625
2004-11-30,10475.26953125,10483.1396484375,10428.01953125,10428.01953125,10428.01953125
2004-12-01,10425.7998046875,10590.2197265625,10425.759765625,10590.2197265625,10590.2197265625
2004-12-02,10590.4404296875,10629.16015625,10544.76953125,10585.1201171875,10585.1201171875
2004-12-03,10597.900390625,10643.0498046875,10560.580078125,10592.2099609375,10592.2099609375
2004-12-06,10591.3203125,10591.990234375,10526.8203125,10547.0595703125,10547.0595703125
